,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_cli,2020-04-06,,2020-09-03,150,1.1559778,0.4695748,421.0,state,fb-survey
1,al,smoothed_cli,2020-04-06,,2020-09-03,150,1.0274609,0.1959742,2019.0434,state,fb-survey
2,ar,smoothed_cli,2020-04-06,,2020-09-03,150,0.8176689,0.2168097,1330.0005,state,fb-survey
3,az,smoothed_cli,2020-04-06,,2020-09-03,150,1.0100224,0.1532387,3164.169,state,fb-survey
4,ca,smoothed_cli,2020-04-06,,2020-09-03,150,0.727647,0.1366678,3116.6652,state,fb-survey
5,co,smoothed_cli,2020-04-06,,2020-09-03,150,1.476764,0.1934792,3014.9322,state,fb-survey
6,ct,smoothed_cli,2020-04-06,,2020-09-03,150,1.2575579,0.2591689,1415.0,state,fb-survey
7,dc,smoothed_cli,2020-04-06,,2020-09-03,150,0.5722461,0.3934854,233.0,state,fb-survey
8,de,smoothed_cli,2020-04-06,,2020-09-03,150,1.3885388,0.532361,450.0146,state,fb-survey
9,fl,smoothed_cli,2020-04-06,,2020-09-03,150,0.6050056,0.1262286,2657.0001,state,fb-survey
10,ga,smoothed_cli,2020-04-06,,2020-09-03,150,0.6741203,0.143708,2328.9788,state,fb-survey
11,hi,smoothed_cli,2020-04-06,,2020-09-03,150,0.6332139,0.2755411,558.0,state,fb-survey
12,ia,smoothed_cli,2020-04-06,,2020-09-03,150,0.8999704,0.2030604,1582.5702,state,fb-survey
13,id,smoothed_cli,2020-04-06,,2020-09-03,150,1.3363133,0.3242437,955.0738,state,fb-survey
14,il,smoothed_cli,2020-04-06,,2020-09-03,150,1.0094843,0.1553962,3137.001,state,fb-survey
15,in,smoothed_cli,2020-04-06,,2020-09-03,150,1.1399092,0.1597976,3141.0038,state,fb-survey
16,ks,smoothed_cli,2020-04-06,,2020-09-03,150,0.8688478,0.2016905,1449.0269,state,fb-survey
17,ky,smoothed_cli,2020-04-06,,2020-09-03,150,0.7873409,0.1537667,2255.9436,state,fb-survey
18,la,smoothed_cli,2020-04-06,,2020-09-03,150,0.9629052,0.1913084,1892.998,state,fb-survey
19,ma,smoothed_cli,2020-04-06,,2020-09-03,150,0.561085,0.1247227,2633.005,state,fb-survey
20,md,smoothed_cli,2020-04-06,,2020-09-03,150,0.4258659,0.1001803,2128.9838,state,fb-survey
21,me,smoothed_cli,2020-04-06,,2020-09-03,150,1.4964202,0.4629654,572.0,state,fb-survey
22,mi,smoothed_cli,2020-04-06,,2020-09-03,150,0.9887269,0.1454346,3471.9973,state,fb-survey
23,mn,smoothed_cli,2020-04-06,,2020-09-03,150,0.9632191,0.1764805,2390.203,state,fb-survey
24,mo,smoothed_cli,2020-04-06,,2020-09-03,150,0.7040215,0.1306874,2865.2468,state,fb-survey
25,ms,smoothed_cli,2020-04-06,,2020-09-03,150,1.0770841,0.2533742,1240.4064,state,fb-survey
26,mt,smoothed_cli,2020-04-06,,2020-09-03,150,1.3658952,0.4642902,572.6513,state,fb-survey
27,nc,smoothed_cli,2020-04-06,,2020-09-03,150,0.7948252,0.1551575,2529.0018,state,fb-survey
